,customer,inactive_days,number_of_orders,total_payment,cluster_r,cluster_f,cluster_m,rfm_segment,segment_index
0,C1,62,3,137.16,3,3,1,331,C
1,C10,694,1,114.77000000000001,1,1,1,111,D
2,C100,692,1,653.39,1,1,2,112,D
3,C1000,574,1,65.46,1,1,1,111,D
4,C10000,462,1,142.10000000000002,1,1,1,111,D
5,C10001,462,1,59.0,1,1,1,111,D
6,C10002,462,1,40.089999999999996,1,1,1,111,D
7,C10003,462,1,67.67999999999999,1,1,1,111,D
8,C10004,462,1,57.0,1,1,1,111,D
9,C10005,462,1,252.07,1,1,1,111,D
10,C10006,462,1,144.47,1,1,1,111,D
11,C10007,462,1,56.42,1,1,1,111,D
12,C10008,462,1,158.46,1,1,1,111,D
13,C10009,462,1,188.41,1,1,1,111,D
14,C1001,574,1,38.42,1,1,1,111,D
15,C10010,462,1,33.84,1,1,1,111,D
16,C10011,462,1,27.68,1,1,1,111,D
17,C10012,462,1,360.09,1,1,2,112,D
18,C10013,462,1,55.0,1,1,1,111,D
19,C10014,462,1,70.12,1,1,1,111,D
20,C10015,462,1,61.58,1,1,1,111,D
21,C10016,462,1,218.66,1,1,1,111,D
22,C10017,462,2,123.01999999999998,1,2,1,121,D
23,C10018,462,1,287.76,1,1,1,111,D
24,C10019,462,1,62.68,1,1,1,111,D
25,C1002,574,1,64.42,1,1,1,111,D
26,C10020,462,1,116.94,1,1,1,111,D
27,C10021,405,2,194.09,1,2,1,121,D
28,C10022,462,1,102.03,1,1,1,111,D
29,C10023,462,1,182.76,1,1,1,111,D
30,C10024,462,2,233.20000000000002,1,2,1,121,D
31,C10025,462,1,120.38999999999999,1,1,1,111,D
32,C10026,462,1,81.72,1,1,1,111,D
33,C10027,462,1,60.09,1,1,1,111,D
34,C10028,462,1,186.6,1,1,1,111,D
35,C10029,391,3,159.57,1,3,1,131,D
36,C1003,574,1,140.51,1,1,1,111,D
37,C10030,462,1,239.39,1,1,1,111,D
38,C10031,462,1,62.68,1,1,1,111,D
39,C10032,462,1,63.37,1,1,1,111,D
40,C10033,462,1,258.86,1,1,1,111,D
41,C10034,462,1,314.84,1,1,2,112,D
42,C10035,462,1,233.83,1,1,1,111,D
43,C10036,462,1,152.38,1,1,1,111,D
44,C10037,462,1,686.02,1,1,2,112,D
45,C10038,462,1,40.78,1,1,1,111,D
46,C10039,462,1,178.56,1,1,1,111,D
47,C1004,574,1,185.88,1,1,1,111,D
48,C10040,364,2,425.54,1,2,2,122,D
49,C10041,462,1,44.089999999999996,1,1,1,111,D
50,C10042,462,1,175.26,1,1,1,111,D
51,C10043,462,1,242.24,1,1,1,111,D
52,C10044,462,1,345.07,1,1,2,112,D
53,C10045,461,1,86.61000000000001,1,1,1,111,D
54,C10046,461,2,175.28,1,2,1,121,D
55,C10047,461,1,256.43,1,1,1,111,D
56,C10048,461,1,307.10999999999996,1,1,2,112,D
57,C10049,461,2,54.2,1,2,1,121,D
58,C1005,574,1,40.72,1,1,1,111,D
59,C10050,461,1,65.06,1,1,1,111,D
60,C10051,461,1,113.62,1,1,1,111,D
61,C10052,461,1,140.56,1,1,1,111,D
62,C10053,275,2,330.14,2,2,2,222,B
63,C10054,461,1,116.94,1,1,1,111,D
64,C10055,461,1,126.43,1,1,1,111,D
65,C10056,461,1,63.17999999999999,1,1,1,111,D
66,C10057,461,1,33.37,1,1,1,111,D
67,C10058,461,1,772.51,1,1,2,112,D
68,C10059,461,1,120.87,1,1,1,111,D
69,C1006,574,1,255.25,1,1,1,111,D
70,C10060,461,1,142.97,1,1,1,111,D
71,C10061,461,1,86.02,1,1,1,111,D
72,C10062,461,3,336.86,1,3,2,132,D
73,C10063,461,1,154.07,1,1,1,111,D
74,C10064,232,2,103.1,2,2,1,221,D
75,C10065,461,1,148.79,1,1,1,111,D
76,C10066,298,2,118.09,2,2,1,221,D
77,C10067,461,1,57.239999999999995,1,1,1,111,D
78,C10068,461,1,6726.66,1,1,3,113,D
79,C10069,461,1,75.78999999999999,1,1,1,111,D
80,C1007,574,1,1101.83,1,1,3,113,D
81,C10070,461,1,25.09,1,1,1,111,D
82,C10071,461,1,102.03,1,1,1,111,D
83,C10072,461,1,32.62,1,1,1,111,D
84,C10073,461,1,105.28,1,1,1,111,D
85,C10074,461,1,507.17,1,1,2,112,D
86,C10075,461,1,161.65,1,1,1,111,D
87,C10076,461,1,34.129999999999995,1,1,1,111,D
88,C10077,461,1,269.15,1,1,1,111,D
89,C10078,461,1,80.0,1,1,1,111,D
90,C10079,461,1,68.89,1,1,1,111,D
91,C1008,574,1,177.54000000000002,1,1,1,111,D
92,C10080,461,1,296.12,1,1,1,111,D
93,C10081,461,1,164.17000000000002,1,1,1,111,D
94,C10082,461,1,137.7,1,1,1,111,D
95,C10083,327,4,451.83,2,3,2,232,B
96,C10084,461,1,379.2,1,1,2,112,D
97,C10085,461,1,134.2,1,1,1,111,D
98,C10086,461,1,60.01,1,1,1,111,D
99,C10087,461,1,258.41,1,1,1,111,D
100,C10088,461,1,32.089999999999996,1,1,1,111,D
101,C10089,461,1,26.6,1,1,1,111,D
102,C1009,573,1,18.22,1,1,1,111,D
103,C10090,461,1,257.79,1,1,1,111,D
104,C10091,461,1,102.26,1,1,1,111,D
105,C10092,461,1,191.88,1,1,1,111,D
106,C10093,461,1,145.56,1,1,1,111,D
107,C10094,461,1,107.81,1,1,1,111,D
108,C10095,461,1,52.589999999999996,1,1,1,111,D
109,C10096,461,1,215.38,1,1,1,111,D
110,C10097,461,1,70.03999999999999,1,1,1,111,D
111,C10098,461,2,125.14,1,2,1,121,D
112,C10099,461,1,324.88,1,1,2,112,D
113,C101,692,1,594.46,1,1,2,112,D
114,C1010,573,1,226.88,1,1,1,111,D
115,C10100,461,1,46.44,1,1,1,111,D
116,C10101,461,1,85.15,1,1,1,111,D
117,C10102,461,1,30.09,1,1,1,111,D
118,C10103,461,1,101.12,1,1,1,111,D
119,C10104,461,1,156.09,1,1,1,111,D
120,C10105,461,1,26.77,1,1,1,111,D
121,C10106,461,1,429.27,1,1,2,112,D
122,C10107,461,1,148.15,1,1,1,111,D
123,C10108,461,2,346.74,1,2,2,122,D
124,C10109,461,1,32.47,1,1,1,111,D
125,C1011,573,1,41.64,1,1,1,111,D
126,C10110,316,2,79.09,2,2,1,221,D
127,C10111,461,1,27.77,1,1,1,111,D
128,C10112,461,1,129.01,1,1,1,111,D
129,C10113,461,1,51.0,1,1,1,111,D
130,C10114,461,1,286.34000000000003,1,1,1,111,D
131,C10115,461,1,70.03,1,1,1,111,D
132,C10116,180,3,366.99,2,3,2,232,B
133,C10117,461,1,126.11000000000001,1,1,1,111,D
134,C10118,446,2,99.56,1,2,1,121,D
135,C10119,461,1,87.8,1,1,1,111,D
136,C1012,573,1,221.84,1,1,1,111,D
137,C10120,461,1,726.8900000000001,1,1,2,112,D
138,C10121,461,1,87.64,1,1,1,111,D
139,C10122,461,1,125.52,1,1,1,111,D
140,C10123,461,1,81.89,1,1,1,111,D
141,C10124,461,1,34.089999999999996,1,1,1,111,D
142,C10125,461,1,650.63,1,1,2,112,D
143,C10126,461,1,62.01,1,1,1,111,D
144,C10127,461,1,426.09,1,1,2,112,D
145,C10128,461,1,298.32,1,1,1,111,D
146,C10129,461,1,123.99000000000001,1,1,1,111,D
147,C1013,573,1,61.459999999999994,1,1,1,111,D
148,C10130,461,1,42.78,1,1,1,111,D
149,C10131,461,1,71.82,1,1,1,111,D
150,C10132,461,1,208.64000000000001,1,1,1,111,D
151,C10133,461,1,94.21000000000001,1,1,1,111,D
152,C10134,461,1,48.01,1,1,1,111,D
153,C10135,461,1,637.49,1,1,2,112,D
154,C10136,461,1,66.6,1,1,1,111,D
155,C10137,461,1,116.44999999999999,1,1,1,111,D
156,C10138,461,1,98.11000000000001,1,1,1,111,D
157,C10139,461,1,72.39,1,1,1,111,D
158,C1014,573,1,185.61,1,1,1,111,D
159,C10140,461,2,94.2,1,2,1,121,D
160,C10141,461,1,47.79,1,1,1,111,D
161,C10142,461,1,28.0,1,1,1,111,D
162,C10143,461,2,61.2,1,2,1,121,D
163,C10144,461,1,92.28,1,1,1,111,D
164,C10145,461,1,44.29,1,1,1,111,D
165,C10146,461,1,88.72,1,1,1,111,D
166,C10147,461,1,185.06,1,1,1,111,D
167,C10148,461,1,172.37,1,1,1,111,D
168,C10149,461,1,31.95,1,1,1,111,D
169,C1015,573,1,226.11,1,1,1,111,D
170,C10150,461,1,20.84,1,1,1,111,D
171,C10151,461,1,25.77,1,1,1,111,D
172,C10152,461,1,82.73,1,1,1,111,D
173,C10153,461,1,129.01,1,1,1,111,D
174,C10154,461,1,246.36,1,1,1,111,D
175,C10155,461,1,555.18,1,1,2,112,D
176,C10156,461,1,1273.16,1,1,3,113,D
177,C10157,461,1,151.7,1,1,1,111,D
178,C10158,461,1,53.1,1,1,1,111,D
179,C10159,461,1,31.6,1,1,1,111,D
180,C1016,573,1,288.08,1,1,1,111,D
181,C10160,461,1,96.8,1,1,1,111,D
182,C10161,461,1,403.22999999999996,1,1,2,112,D
183,C10162,461,1,138.15,1,1,1,111,D
184,C10163,461,1,301.66999999999996,1,1,2,112,D
185,C10164,461,1,85.33999999999999,1,1,1,111,D
186,C10165,461,1,137.3,1,1,1,111,D
187,C10166,461,1,213.49,1,1,1,111,D
188,C10167,461,1,105.36999999999999,1,1,1,111,D
189,C10168,461,1,264.67,1,1,1,111,D
190,C10169,461,1,237.98,1,1,1,111,D
191,C1017,573,1,99.75,1,1,1,111,D
192,C10170,461,1,54.84,1,1,1,111,D
193,C10171,461,1,244.71,1,1,1,111,D
194,C10172,460,1,110.59,1,1,1,111,D
195,C10173,460,1,184.99,1,1,1,111,D
196,C10174,460,1,64.49,1,1,1,111,D
197,C10175,460,1,308.42999999999995,1,1,2,112,D
198,C10176,460,4,195.36,1,3,1,131,D
199,C10177,460,4,940.78,1,3,2,132,D
200,C10178,460,1,196.92000000000002,1,1,1,111,D
201,C10179,460,1,38.0,1,1,1,111,D
202,C1018,573,1,15.290000000000001,1,1,1,111,D
203,C10180,460,1,115.35000000000001,1,1,1,111,D
204,C10181,135,2,944.5699999999999,3,2,2,322,C
205,C10182,460,1,27.240000000000002,1,1,1,111,D
206,C10183,460,1,86.15,1,1,1,111,D
207,C10184,460,1,275.56,1,1,1,111,D
208,C10185,460,1,31.48,1,1,1,111,D
209,C10186,460,1,196.92000000000002,1,1,1,111,D
210,C10187,460,1,46.589999999999996,1,1,1,111,D
211,C10188,460,1,182.17000000000002,1,1,1,111,D
212,C10189,460,1,116.44999999999999,1,1,1,111,D
213,C1019,573,1,55.989999999999995,1,1,1,111,D
214,C10190,460,1,140.32,1,1,1,111,D
215,C10191,460,1,190.33,1,1,1,111,D
216,C10192,460,1,173.86,1,1,1,111,D
217,C10193,460,1,27.77,1,1,1,111,D
218,C10194,460,1,106.17,1,1,1,111,D
219,C10195,460,1,178.27,1,1,1,111,D
220,C10196,460,1,92.19,1,1,1,111,D
221,C10197,460,1,143.12,1,1,1,111,D
222,C10198,460,1,90.7,1,1,1,111,D
223,C10199,460,1,42.78,1,1,1,111,D
224,C102,692,2,250.69,1,2,1,121,D
225,C1020,573,1,177.02,1,1,1,111,D
226,C10200,460,1,159.41,1,1,1,111,D
227,C10201,460,1,43.5,1,1,1,111,D
228,C10202,460,1,225.21,1,1,1,111,D
229,C10203,460,1,201.05,1,1,1,111,D
230,C10204,460,1,83.0,1,1,1,111,D
231,C10205,460,1,86.8,1,1,1,111,D
232,C10206,460,1,77.2,1,1,1,111,D
233,C10207,460,1,114.80000000000001,1,1,1,111,D
234,C10208,460,1,47.0,1,1,1,111,D
235,C10209,460,1,194.0,1,1,1,111,D
236,C1021,573,1,55.43,1,1,1,111,D
237,C10210,460,1,81.17,1,1,1,111,D
238,C10211,460,1,188.34,1,1,1,111,D
239,C10212,460,1,52.379999999999995,1,1,1,111,D
240,C10213,460,2,279.74,1,2,1,121,D
241,C10214,460,1,165.67000000000002,1,1,1,111,D
242,C10215,460,1,50.25,1,1,1,111,D
243,C10216,460,1,132.95000000000002,1,1,1,111,D
244,C10217,460,1,107.19999999999999,1,1,1,111,D
245,C10218,460,1,146.35,1,1,1,111,D
246,C10219,460,1,87.71000000000001,1,1,1,111,D
247,C1022,573,1,140.34,1,1,1,111,D
248,C10220,460,1,106.17,1,1,1,111,D
249,C10221,460,1,146.04,1,1,1,111,D
250,C10222,460,1,86.15,1,1,1,111,D
251,C10223,460,1,86.73,1,1,1,111,D
252,C10224,460,1,246.23,1,1,1,111,D
253,C10225,460,1,57.68,1,1,1,111,D
254,C10226,460,1,69.84,1,1,1,111,D
255,C10227,460,1,119.46000000000001,1,1,1,111,D
256,C10228,460,1,54.69,1,1,1,111,D
257,C10229,460,1,68.83,1,1,1,111,D
258,C1023,573,1,539.85,1,1,2,112,D
259,C10230,460,1,70.91,1,1,1,111,D
260,C10231,460,1,159.76,1,1,1,111,D
261,C10232,460,1,85.33999999999999,1,1,1,111,D
262,C10233,460,1,475.97,1,1,2,112,D
263,C10234,460,2,420.06000000000006,1,2,2,122,D
264,C10235,460,1,90.95,1,1,1,111,D
265,C10236,460,1,115.35000000000001,1,1,1,111,D
266,C10237,460,1,129.91,1,1,1,111,D
267,C10238,460,1,405.42999999999995,1,1,2,112,D
268,C10239,460,1,70.84,1,1,1,111,D
269,C1024,573,1,60.42,1,1,1,111,D
270,C10240,460,1,150.39000000000001,1,1,1,111,D
271,C10241,460,1,37.089999999999996,1,1,1,111,D
272,C10242,460,1,252.2,1,1,1,111,D
273,C10243,460,1,70.62,1,1,1,111,D
274,C10244,460,1,53.55,1,1,1,111,D
275,C10245,460,1,470.38,1,1,2,112,D
276,C10246,460,1,153.9,1,1,1,111,D
277,C10247,460,1,108.0,1,1,1,111,D
278,C10248,460,2,91.06,1,2,1,121,D
279,C10249,460,1,35.04,1,1,1,111,D
280,C1025,573,1,412.12,1,1,2,112,D
281,C10250,460,1,41.36,1,1,1,111,D
282,C10251,460,1,67.5,1,1,1,111,D
283,C10252,460,1,563.16,1,1,2,112,D
284,C10253,460,1,79.19,1,1,1,111,D
285,C10254,460,1,148.06,1,1,1,111,D
286,C10255,459,1,88.93,1,1,1,111,D
287,C10256,459,1,67.53,1,1,1,111,D
288,C10257,459,1,65.0,1,1,1,111,D
289,C10258,459,1,126.35,1,1,1,111,D
290,C10259,459,1,51.66,1,1,1,111,D
291,C1026,573,1,121.34,1,1,1,111,D
292,C10260,459,1,43.1,1,1,1,111,D
293,C10261,459,1,415.62,1,1,2,112,D
294,C10262,459,1,65.0,1,1,1,111,D
295,C10263,459,1,350.37,1,1,2,112,D
296,C10264,459,1,518.25,1,1,2,112,D
297,C10265,459,1,235.28,1,1,1,111,D
298,C10266,459,1,112.43,1,1,1,111,D
299,C10267,459,1,32.089999999999996,1,1,1,111,D
300,C10268,459,1,175.64000000000001,1,1,1,111,D
301,C10269,459,1,66.1,1,1,1,111,D
302,C1027,573,1,38.96,1,1,1,111,D
303,C10270,459,1,194.70999999999998,1,1,1,111,D
304,C10271,459,1,41.69,1,1,1,111,D
305,C10272,459,1,30.009999999999998,1,1,1,111,D
306,C10273,459,1,31.35,1,1,1,111,D
307,C10274,459,1,165.8,1,1,1,111,D
308,C10275,459,1,100.95,1,1,1,111,D
309,C10276,459,1,366.14,1,1,2,112,D
310,C10277,459,1,194.01000000000002,1,1,1,111,D
311,C10278,459,1,319.34,1,1,2,112,D
312,C10279,459,1,267.51,1,1,1,111,D
313,C1028,573,1,79.03999999999999,1,1,1,111,D
314,C10280,459,1,28.08,1,1,1,111,D
315,C10281,459,1,54.0,1,1,1,111,D
316,C10282,459,1,80.9,1,1,1,111,D
317,C10283,459,1,31.0,1,1,1,111,D
318,C10284,459,1,35.0,1,1,1,111,D
319,C10285,459,1,231.45,1,1,1,111,D
320,C10286,459,1,295.52,1,1,1,111,D
321,C10287,459,1,385.61,1,1,2,112,D
322,C10288,459,1,127.92,1,1,1,111,D
323,C10289,459,1,79.98,1,1,1,111,D
324,C1029,573,1,176.76,1,1,1,111,D
325,C10290,459,1,196.03,1,1,1,111,D
326,C10291,459,1,99.7,1,1,1,111,D
327,C10292,459,1,55.28,1,1,1,111,D
328,C10293,459,1,66.78,1,1,1,111,D
329,C10294,459,1,102.03,1,1,1,111,D
330,C10295,459,1,111.28,1,1,1,111,D
331,C10296,459,1,110.02000000000001,1,1,1,111,D
332,C10297,459,1,66.1,1,1,1,111,D
333,C10298,459,1,1205.0,1,1,3,113,D
334,C10299,459,1,44.379999999999995,1,1,1,111,D
335,C103,692,1,35.42,1,1,1,111,D
336,C1030,573,1,38.64,1,1,1,111,D
337,C10300,459,1,513.9,1,1,2,112,D
338,C10301,459,1,159.3,1,1,1,111,D
339,C10302,459,1,113.03,1,1,1,111,D
340,C10303,459,1,36.75,1,1,1,111,D
341,C10304,459,1,52.68,1,1,1,111,D
342,C10305,459,1,105.28,1,1,1,111,D
343,C10306,459,1,127.39999999999999,1,1,1,111,D
344,C10307,459,1,45.0,1,1,1,111,D
345,C10308,459,1,143.86,1,1,1,111,D
346,C10309,459,1,662.62,1,1,2,112,D
347,C1031,573,1,125.53,1,1,1,111,D
348,C10310,459,1,204.07,1,1,1,111,D
349,C10311,459,1,86.86,1,1,1,111,D
350,C10312,297,2,108.09,2,2,1,221,D
351,C10313,459,1,688.44,1,1,2,112,D
352,C10314,459,1,102.82000000000001,1,1,1,111,D
353,C10315,459,1,25.78,1,1,1,111,D
354,C10316,67,4,426.12,3,3,2,332,A
355,C10317,459,1,313.43,1,1,2,112,D
356,C10318,459,1,55.36,1,1,1,111,D
357,C10319,459,1,38.0,1,1,1,111,D
358,C1032,573,1,33.95,1,1,1,111,D
359,C10320,458,1,116.13,1,1,1,111,D
360,C10321,458,2,115.2,1,2,1,121,D
361,C10322,458,1,30.0,1,1,1,111,D
362,C10323,458,1,95.21000000000001,1,1,1,111,D
363,C10324,458,1,340.49,1,1,2,112,D
364,C10325,458,1,356.12,1,1,2,112,D
365,C10326,458,1,105.28,1,1,1,111,D
366,C10327,458,1,193.37,1,1,1,111,D
367,C10328,458,1,476.97,1,1,2,112,D
368,C10329,458,1,120.45,1,1,1,111,D
369,C1033,573,2,198.26,1,2,1,121,D
370,C10330,331,3,459.04999999999995,2,3,2,232,B
371,C10331,458,1,112.95,1,1,1,111,D
372,C10332,458,1,111.02000000000001,1,1,1,111,D
373,C10333,458,1,12.280000000000001,1,1,1,111,D
374,C10334,458,1,29.65,1,1,1,111,D
375,C10335,458,1,297.71000000000004,1,1,1,111,D
376,C10336,391,4,299.43,1,3,1,131,D
377,C10337,458,1,49.1,1,1,1,111,D
378,C10338,190,2,147.5,2,2,1,221,D
379,C10339,458,3,934.6600000000001,1,3,2,132,D
380,C1034,573,1,161.12,1,1,1,111,D
381,C10340,458,1,51.1,1,1,1,111,D
382,C10341,458,1,434.43,1,1,2,112,D
383,C10342,458,1,200.11,1,1,1,111,D
384,C10343,458,1,173.23000000000002,1,1,1,111,D
385,C10344,458,1,28.0,1,1,1,111,D
386,C10345,458,1,147.96,1,1,1,111,D
387,C10346,458,1,69.84,1,1,1,111,D
388,C10347,458,1,53.53,1,1,1,111,D
389,C10348,458,1,174.04000000000002,1,1,1,111,D
390,C10349,458,2,165.10999999999999,1,2,1,121,D
391,C1035,573,1,35.42,1,1,1,111,D
392,C10350,458,1,177.57999999999998,1,1,1,111,D
393,C10351,458,2,140.52,1,2,1,121,D
394,C10352,458,1,29.619999999999997,1,1,1,111,D
395,C10353,458,1,51.1,1,1,1,111,D
396,C10354,458,1,181.29000000000002,1,1,1,111,D
397,C10355,458,1,208.09,1,1,1,111,D
398,C10356,458,1,87.64,1,1,1,111,D
399,C10357,458,1,90.28,1,1,1,111,D
400,C10358,458,1,1697.45,1,1,3,113,D
401,C10359,274,2,404.20000000000005,2,2,2,222,B
402,C1036,502,2,257.24,1,2,1,121,D
403,C10360,458,1,233.04000000000002,1,1,1,111,D
404,C10361,458,1,26.77,1,1,1,111,D
405,C10362,458,1,203.3,1,1,1,111,D
406,C10363,458,1,107.71000000000001,1,1,1,111,D
407,C10364,458,1,30.96,1,1,1,111,D
408,C10365,458,1,57.75,1,1,1,111,D
409,C10366,444,2,135.19,1,2,1,121,D
410,C10367,458,1,177.44,1,1,1,111,D
411,C10368,458,2,373.12,1,2,2,122,D
412,C10369,458,1,66.27,1,1,1,111,D
413,C1037,573,1,408.99,1,1,2,112,D
414,C10370,458,1,105.28,1,1,1,111,D
415,C10371,181,2,250.93,2,2,1,221,D
416,C10372,458,1,60.0,1,1,1,111,D
417,C10373,458,1,61.0,1,1,1,111,D
418,C10374,458,1,148.28,1,1,1,111,D
419,C10375,458,2,210.24,1,2,1,121,D
420,C10376,458,1,34.6,1,1,1,111,D
421,C10377,458,1,214.11999999999998,1,1,1,111,D
422,C10378,458,1,148.06,1,1,1,111,D
423,C10379,458,1,239.35000000000002,1,1,1,111,D
424,C1038,573,1,38.64,1,1,1,111,D
425,C10380,458,1,27.09,1,1,1,111,D
426,C10381,458,1,80.10000000000001,1,1,1,111,D
427,C10382,458,1,82.73,1,1,1,111,D
428,C10383,458,1,106.97,1,1,1,111,D
429,C10384,458,1,93.56,1,1,1,111,D
430,C10385,458,1,111.18,1,1,1,111,D
431,C10386,458,1,89.86000000000001,1,1,1,111,D
432,C10387,458,1,282.04,1,1,1,111,D
433,C10388,458,1,86.15,1,1,1,111,D
434,C10389,458,1,70.03,1,1,1,111,D
435,C1039,573,1,167.1,1,1,1,111,D
436,C10390,458,1,126.02000000000001,1,1,1,111,D
437,C10391,458,1,52.589999999999996,1,1,1,111,D
438,C10392,457,1,46.0,1,1,1,111,D
439,C10393,457,1,210.56,1,1,1,111,D
440,C10394,457,1,43.1,1,1,1,111,D
441,C10395,457,1,136.59,1,1,1,111,D
442,C10396,457,1,87.96000000000001,1,1,1,111,D
443,C10397,457,1,103.48,1,1,1,111,D
444,C10398,457,2,363.76,1,2,2,122,D
445,C10399,457,1,102.03,1,1,1,111,D
446,C104,692,1,297.34999999999997,1,1,1,111,D
447,C1040,573,1,114.94999999999999,1,1,1,111,D
448,C10400,457,1,44.0,1,1,1,111,D
449,C10401,457,1,85.14,1,1,1,111,D
450,C10402,457,1,110.4,1,1,1,111,D
451,C10403,457,1,240.32,1,1,1,111,D
452,C10404,457,1,81.11000000000001,1,1,1,111,D
453,C10405,457,1,101.25,1,1,1,111,D
454,C10406,457,1,54.75,1,1,1,111,D
455,C10407,457,1,191.67000000000002,1,1,1,111,D
456,C10408,457,1,188.41,1,1,1,111,D
457,C10409,457,1,20.28,1,1,1,111,D
458,C1041,573,1,30.94,1,1,1,111,D
459,C10410,457,1,185.89,1,1,1,111,D
460,C10411,457,1,65.6,1,1,1,111,D
461,C10412,408,2,251.65,1,2,1,121,D
462,C10413,457,1,55.69,1,1,1,111,D
463,C10414,457,1,260.56,1,1,1,111,D
464,C10415,457,1,148.06,1,1,1,111,D
465,C10416,457,1,53.0,1,1,1,111,D
466,C10417,457,1,68.89,1,1,1,111,D
467,C10418,457,1,105.28,1,1,1,111,D
468,C10419,457,1,128.91,1,1,1,111,D
469,C1042,573,1,141.29,1,1,1,111,D
470,C10420,457,1,114.35000000000001,1,1,1,111,D
471,C10421,457,1,110.4,1,1,1,111,D
472,C10422,457,1,87.52,1,1,1,111,D
473,C10423,457,1,45.0,1,1,1,111,D
474,C10424,457,1,105.28,1,1,1,111,D
475,C10425,457,1,41.05,1,1,1,111,D
476,C10426,457,1,138.36,1,1,1,111,D
477,C10427,457,1,113.44,1,1,1,111,D
478,C10428,457,1,187.56,1,1,1,111,D
479,C10429,457,1,27.380000000000003,1,1,1,111,D
480,C1043,573,1,152.43,1,1,1,111,D
481,C10430,457,1,72.78,1,1,1,111,D
482,C10431,457,1,219.19,1,1,1,111,D
483,C10432,457,1,93.3,1,1,1,111,D
484,C10433,457,1,156.64000000000001,1,1,1,111,D
485,C10434,457,1,201.05,1,1,1,111,D
486,C10435,457,1,67.77,1,1,1,111,D
487,C10436,457,1,198.53,1,1,1,111,D
488,C10437,457,1,85.14,1,1,1,111,D
489,C10438,457,1,32.089999999999996,1,1,1,111,D
490,C10439,457,1,29.689999999999998,1,1,1,111,D
491,C1044,573,1,274.38,1,1,1,111,D
492,C10440,457,1,106.25,1,1,1,111,D
493,C10441,426,2,257.58,1,2,1,121,D
494,C10442,457,1,87.8,1,1,1,111,D
495,C10443,457,1,47.53,1,1,1,111,D
496,C10444,457,1,108.86000000000001,1,1,1,111,D
497,C10445,457,2,128.05,1,2,1,121,D
498,C10446,457,1,58.69,1,1,1,111,D
499,C10447,457,1,39.34,1,1,1,111,D
500,C10448,457,1,117.37,1,1,1,111,D
501,C10449,457,1,54.14,1,1,1,111,D
502,C1045,573,1,193.3,1,1,1,111,D
503,C10450,457,2,153.06,1,2,1,121,D
504,C10451,457,1,40.589999999999996,1,1,1,111,D
505,C10452,457,1,81.21000000000001,1,1,1,111,D
506,C10453,457,1,33.17,1,1,1,111,D
507,C10454,457,1,169.92000000000002,1,1,1,111,D
508,C10455,457,1,255.42000000000002,1,1,1,111,D
509,C10456,457,1,52.68,1,1,1,111,D
510,C10457,457,1,114.66,1,1,1,111,D
511,C10458,457,1,113.82000000000001,1,1,1,111,D
512,C10459,457,1,61.589999999999996,1,1,1,111,D
513,C1046,573,1,44.01,1,1,1,111,D
514,C10460,457,1,262.52,1,1,1,111,D
515,C10461,457,1,773.48,1,1,2,112,D
516,C10462,455,2,113.56,1,2,1,121,D
517,C10463,457,1,36.75,1,1,1,111,D
518,C10464,457,1,28.35,1,1,1,111,D
519,C10465,457,1,33.68,1,1,1,111,D
520,C10466,457,1,98.23,1,1,1,111,D
521,C10467,457,1,111.18,1,1,1,111,D
522,C10468,457,1,66.69,1,1,1,111,D
523,C10469,457,1,33.17,1,1,1,111,D
524,C1047,573,1,65.00999999999999,1,1,1,111,D
525,C10470,457,1,73.5,1,1,1,111,D
526,C10471,457,1,47.68,1,1,1,111,D
527,C10472,457,1,72.75,1,1,1,111,D
528,C10473,457,1,150.03,1,1,1,111,D
529,C10474,457,1,106.69,1,1,1,111,D
530,C10475,457,1,74.05,1,1,1,111,D
531,C10476,457,1,126.81,1,1,1,111,D
532,C10477,457,1,82.73,1,1,1,111,D
533,C10478,457,1,66.6,1,1,1,111,D
534,C10479,457,1,207.57,1,1,1,111,D
535,C1048,573,1,120.82,1,1,1,111,D
536,C10480,457,1,152.38,1,1,1,111,D
537,C10481,457,1,94.3,1,1,1,111,D
538,C10482,457,1,165.25,1,1,1,111,D
539,C10483,457,1,26.77,1,1,1,111,D
540,C10484,457,1,140.07,1,1,1,111,D
541,C10485,457,1,346.88,1,1,2,112,D
542,C10486,457,1,126.0,1,1,1,111,D
543,C10487,457,1,67.62,1,1,1,111,D
544,C10488,457,1,129.01,1,1,1,111,D
545,C10489,457,1,60.61,1,1,1,111,D
546,C1049,573,1,148.98,1,1,1,111,D
547,C10490,457,1,63.0,1,1,1,111,D
548,C10491,457,1,128.22,1,1,1,111,D
549,C10492,457,1,47.68,1,1,1,111,D
550,C10493,457,1,167.52,1,1,1,111,D
551,C10494,457,1,606.46,1,1,2,112,D
552,C10495,457,1,112.81,1,1,1,111,D
553,C10496,457,1,111.91,1,1,1,111,D
554,C10497,457,1,126.30000000000001,1,1,1,111,D
555,C10498,457,1,27.68,1,1,1,111,D
556,C10499,457,1,205.57,1,1,1,111,D
557,C105,692,1,74.59,1,1,1,111,D
558,C1050,573,1,667.88,1,1,2,112,D
559,C10500,457,1,147.15,1,1,1,111,D
560,C10501,457,1,59.6,1,1,1,111,D
561,C10502,457,1,76.81,1,1,1,111,D
562,C10503,457,1,64.09,1,1,1,111,D
